User Name,Sex,Comments,Likes,Replies
方山厨子,保密,熬了几个通宵整理出来的课件，这个课真的很难备[大哭][跪了]欢迎大家补充指正,7343,如何安装steam！我真的很需要[脸红][脸红][脸红]天呐，好细！！感谢up！支持up！
方山厨子,保密,熬了几个通宵整理出来的课件，这个课真的很难备[大哭][跪了]欢迎大家补充指正,7343,安装Steam太真实了，我一朋友装完电脑跟寄了没什么区别，给我气笑了都，他就真的要普及一下像这些安装软件的知识啊[笑哭][笑哭]
枫糖薇,女,老师开个慕课吧[大哭],4517,b站直播录播也可！我节节课一课不落！
枫糖薇,女,老师开个慕课吧[大哭],4517,我非常需要
一崽wy,保密,感觉有些内容还可以考虑到各地区之间的细节差异，并且每年的课件需要随着政策或措施的改变而更新，还是挺难的。希望这门课可以成功，如果能搬到B站就更好了[doge],174,
粉色输出小可爱,保密,就想问一下：哪里抢课、多少学分、平时分多少、点不点名、期末划重点吗、补考难不难的,53,真的出去工作就不会问这个问题了，要是在学校真有这个课教就好了，刚出来真的迷茫
邱邱要长高,保密,大学实习的时候，刚入社会被家里推荐去一个公司上班，然后上了一段期间老板把我喊去办公室跟我聊了一会儿之后跟我说我要不要做公司的法人，就是填一下我的名字，相当于公司的一个股东，每个月给我多五百块钱，我只要填一下名字就好了其他的东西不用我负责，我当时刚出学校一个月左右吧，完全不知道什么叫法定负责人，只知道天上不会掉馅饼我就拒绝了，结果后来我朋友跟我讲我老板是在骗我[大哭],70,我大学经济法老师说，就是再好的朋友开公司让你当法人都不行，家人记住天上不会掉馅饼是对的！！
戦争が結婚する,男,家庭算差，生活方式倒是挺会的，就是从小没人教我学习，想问下，只是学习的生活是咋样的，单纯的想了解下[脸红],39,一起床就是做题然后要看书，脑子里全是文字，字母，字符，数字什么的，然后就空空的[捂脸]可能我的状态不是特别好总之我就是这样
日月争辉之景,保密,也许这会是学生上过的、唯一会反复复习的课程[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭],54,
晨昏线上观星象,男,直接以表演的形式呈现给学生有可能吗？模拟一个大学生在出社会之后可能遇到的各种困境，一节课讲一个大难几个小难，看看能不能凑齐81难，到时候给这节课取个别名，社会游记,19,
